Caza	num_pos	num_neg	num_unclear	percent_pos
Akkar	37	371	1	9.06862745098039
Aley	0	70	1	0
Baabda	7	101	7	6.48148148148148
Baalbek	0	1	0	0
Bcharre	1	9	0	10
Beirut	6	96	1	5.88235294117647
Bent Jbeil	0	1	0	0
Chouf	1	11	1	8.33333333333333
El Batroun	79	647	0	10.8815426997245
El Hermel	0	1	0	0
El Koura	318	2456	33	11.463590483057
El Meten	269	1870	45	12.5759700794764
El Minieh-Dennie	4	29	0	12.1212121212121
Jbeil	33	249	4	11.7021276595745
Jezzine	0	2	0	0
Kesrwane	9	101	3	8.18181818181818
Rachaya	0	4	0	0
Saida	0	4	0	0
Tripoli	22	97	0	18.4873949579832
West Bekaa	0	1	0	0
Zahle	1	9	0	10
Zgharta	484	3435	33	12.3500893084971
